nume	cod	populatie	judecatori	stoc	dosare_solutionate		incarcatura	incarcatura_judecator	indice_atacabilitate	indice_casare		durata	performanta	operativitate	incarcatura	siguranta									
Denumirea instantei in clar (cu diactritice)	Codul informatic al instantei (din portal)	Populația	Numar de judecatori	Stoc (total volum de activitate al instantei)	Dosare solutionate	Operativitate (procent solutionate din stoc)	Incarcatura pe schema	Incarcatura pe judecator	Indice de atacabilitate (procent atacate din solutionate)	Indice de casare/desfiintare	Indicator de "siguranta" (100%-Desfiintare*Atacare) [ne mai gandim la denumire - certitudine/ stabilitate/ predictibilitate]	Durata in zile (extras din portal, ca diferenta dintre data inregistrarii dosarului si data solutionarii)	Performanta pentru gogoasa	Operativitatea relativa	Incarcatura relativa	Siguranta relativa									
Curtea de Apel BUCUREŞTI (exercitiu 2012)	CurteadeApelBUCURESTI	3514547	168	66983	43144	64%	809	934	5%	14%	99.30%	68	33.32%	74.36%	88.66%	80.83%									
Curtea de Apel Alba	CurteadeApelALBAIULIA	1158263	43	18603	15787	85%	1086	1137	5%	14%	99.30%	51	50.39%	88.85%	62.63%	85.49%									
Curtea de Apel BACĂU	CurteadeApelBACAU	1086934	32	10786	8619	80%	859	859	5%	14%	99.30%	46	50.67%	79.91%	68.99%	86.77%									
Curtea de Apel BRAŞOV	CurteadeApelBRASOV	759394	36	9027	7167	79%	599	615	5%	14%	99.30%	53	42.13%	81.52%	67.01%	84.76%									
Curtea de Apel CLUJ	CurteadeApelCLUJ	1680374	53	24120	17340	72%	1133	1197	5%	14%	99.30%	43	52.26%	75.95%	72.92%	87.48%									
Curtea de Apel CONSTANŢA	CurteadeApelCONSTANTA	897165	36	10547	7521	71%	685	685	5%	14%	99.30%	49	36.15%	71.31%	67.34%	86.00%									
Curtea de Apel CRAIOVA	CurteadeApelCRAIOVA	1703928	91	25795	21157	82%	662	676	5%	14%	99.30%	42	70.87%	83.75%	83.38%	87.85%									
Curtea de Apel GALAŢI	CurteadeApelGALATI	1197689	42	16824	14646	87%	982	1028	5%	14%	99.30%	44	63.89%	91.13%	66.58%	87.27%									
Curtea de Apel IAŞI	CurteadeApelIASI	1167847	36	12649	9990	79%	808	876	5%	14%	99.30%	44	60.68%	85.63%	69.89%	87.40%									
Curtea de Apel ORADEA	CurteadeApelORADEA	919758	32	11076	8461	76%	810	886	5%	14%	99.30%	48	47.08%	83.56%	62.37%	86.16%									
Curtea de Apel PITEŞTI	CurteadeApelPITESTI	984145	31	13040	10312	79%	907	1053	5%	14%	99.30%	47	54.37%	91.81%	57.27%	86.56%									
Curtea de Apel PLOIEŞTI	CurteadeApelPLOIESTI	1732700	52	16814	13839	82%	798	813	5%	14%	99.30%	52	57.24%	83.85%	81.35%	85.08%									
Curtea de Apel SUCEAVA	CurteadeApelSUCEAVA	1047436	40	16954	14232	84%	1082	1136	5%	14%	99.30%	49	48.80%	88.13%	59.54%	85.85%									
Curtea de Apel TÂRGU MUREŞ	CurteadeApelTARGUMURES	861713	25	11770	10218	87%	1118	1252	5%	14%	99.30%	60	36.22%	97.22%	45.37%	83.10%									
Curtea de Apel TIMIŞOARA	CurteadeApelTIMISOARA	1409748	53	25989	18908	73%	1235	1282	5%	14%	99.30%	43	45.91%	75.52%	64.56%	87.61%									
