name		procurori	lucrari	dosare	lucrari_solutionate	dosare_solutionate	dosare_solutionate_rechizitoriu	dosare_solutionate_recunoastere	dosare_solutionate_neurmarire	dosare_solutionate_clasare	dosare_solutionate_6luni	dosare_solutionate_1an	dosare_solutionate_peste	dosare_solutionate_prescriptie			dosare_restituite	dosare_infirmate	inculpati	inculpati_judecata_rechizitoriu	inculpati_judecata_recunoastere	inculpati_judecata_arestati	inculpati_judecata_prejudicii_lei	inculpati_judecata_prejudicii_euro	masuri_asiguratorii_lei			inculpati_achitati	inculpati_achitati_arestati						plangeri	plangeri_solutionate	plangeri_solutionate_admise	caideatac_penale	caideatac_penale_admise		
UNITATEA DE PARCHET (ACTIVITATE PROPRIE)	POSTURI DE PROCUROR PREVĂZUTE IN SCHEMA	POSTURI DE PROCUROR OCUPATE EFECTIV	TOTAL LUCRĂRI DE SOLUȚIONAT, DIN CARE:	TOTAL DOSARE DE SOLUȚIONAT	TOTAL LUCRĂRI SOLUȚIONATE, DIN CARE:	TOTAL DOSARE SOLUȚIONATE	PRIN RECHIZITORIU	PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	PRIN RENUNȚARE LA URMĂRIREA PENALĂ	PRIN CLASARE	DOSARE SOLUȚIONATE PÂNĂ ÎN 6 LUNI DE LA SESIZARE	DOSARE SOLUȚIONATE ÎNTRE 6 LUNI ȘI 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE PESTE 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE DUPĂ ÎMPLINIREA TERMENULUI DE PRESCRIPȚIE	DOSARE RĂMASE NESOLUȚIONATE (FĂRĂ A.N.)	DOSARE CU AUTOR NECUNOSCUT RĂMASE NESOLUȚIONATE	DOSARE RESTITUITE DE INSTANȚE SAU TRIMISE PROCURORULUI	DOSARE INFIRMATE SAU CU URMĂRIREA PENALĂ REDESCHISĂ	NR. INCULPAȚI SAU SUSPECȚI DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	PREJUDICII ÎN LEI PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	PREJUDICII ÎN EURO PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	VALOAREA MĂSURILOR ASIGURĂTORII ÎN LEI	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	NR. INCULPAȚI ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI ACHITAȚI DEFINITIV ARESTAȚI PREVENTIV	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI PERSOANE JURIDICE ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE NETRIMIȘI ÎN JUDECATĂ	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI DE SOLUȚIONAT, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI SOLUȚIONATE, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI ADMISE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE PENALE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE PENALE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE CIVILE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE CIVILE
 ALBA IULIA	14	13	9,831	932	9,222	667	60	5	18	584	399	107	153	8	178	0	0	8	115	71	5	2	8,314,126	0	1,002,153	39	0	2	0	0	0	0	0	0	273	221	6	5	3	1	0
 PITESTI	13	11	6,166	821	5,628	520	21	4	7	488	312	135	65	8	190	0	0	4	41	24	4	0	29,259	4,672	0	13	0	0	0	0	0	0	0	0	194	176	3	4	5	0	0
 BACAU	14	12	5,990	1,395	5,216	810	39	0	74	697	426	191	178	15	510	0	0	8	183	56	0	0	581,189	0	73,164	127	0	0	0	24	5	0	0	19	19	19	2	7	5	0	0
 ORADEA	13	13	5,843	591	5,397	413	30	1	21	361	190	96	126	1	112	1	0	1	123	41	1	0	289,773	0	0	81	0	2	0	0	0	0	0	0	112	103	7	10	4	2	0
 SUCEAVA	13	12	7,047	640	6,229	369	15	1	29	324	227	91	51	0	238	0	0	15	59	16	1	0	1,200	0	0	42	0	1	0	0	0	0	0	0	200	155	13	2	2	0	0
 BRASOV	14	13	6,223	913	5,577	638	50	0	43	545	400	76	146	16	186	5	2	7	260	70	0	5	1,224,268	265,301	11,469	190	0	5	0	3	0	0	0	3	246	203	3	5	8	0	0
 BUCURESTI	50	50	27,049	2,707	23,988	1,395	55	6	54	1,280	567	350	426	52	1,124	0	0	34	156	82	6	6	87,368,644	181,023	0	68	0	2	0	0	0	0	0	0	521	483	22	39	52	8	8
 CLUJ	15	14	6,729	372	6,399	276	103	0	4	169	156	45	73	2	69	1	0	3	176	111	0	0	3,392,321	0	1,806,531	65	0	2	0	0	0	0	0	0	110	80	1	7	8	0	0
 CONSTANTA	16	13	9,690	1,461	8,324	576	35	0	94	447	245	148	181	2	669	0	0	16	211	75	0	21	29,254,541	22,000	1,737,539	136	0	7	0	3	2	0	0	1	157	119	17	7	16	0	0
