nume	cod	populatie	judecatori	stoc	dosare_solutionate		incarcatura	incarcatura_judecator	indice_atacabilitate	indice_casare		durata	performanta	operativitate	incarcatura	siguranta									
Denumirea instantei in clar (cu diactritice)	Codul informatic al instantei (din portal)	Populația	Numar de judecatori	Stoc (total volum de activitate al instantei)	Dosare solutionate	Operativitate (procent solutionate din stoc)	Incarcatura pe schema	Incarcatura pe judecator	Indice de atacabilitate (procent atacate din solutionate)	Indice de casare/desfiintare	Indicator de "siguranta" (100%-Desfiintare*Atacare) [ne mai gandim la denumire - certitudine/ stabilitate/ predictibilitate]	Durata in zile (extras din portal, ca diferenta dintre data inregistrarii dosarului si data solutionarii)	Performanta pentru gogoasa	Operativitatea relativa	Incarcatura relativa	Siguranta relativa									
Judecătoria ADJUD	JudecatoriaADJUD	44270	4	5559	4144	75%	1389.75	1389.75	9%	10%	99.10%	49	31.30%	74.55%	68.61%	85.75%									
Judecătoria AGNITA	JudecatoriaAGNITA	24777	2	1643	1455	89%	547.6667	821.5	9%	10%	99.10%	48	59.03%	132.84%	66.84%	85.99%									
Judecătoria AIUD	JudecatoriaAIUD	65983	6	7188	5226	73%	898.5	1198	9%	10%	99.10%	61	47.40%	96.94%	83.86%	82.65%									
Judecătoria ALBA IULIA	JudecatoriaALBAIULIA	130980	12	14605	10475	72%	912.8125	1217.083	9%	10%	99.10%	39	66.92%	95.63%	90.71%	88.59%									
Judecătoria ALEŞD	JudecatoriaALESD	58233	5	3852	2536	66%	642	770.4	9%	10%	99.10%	58	40.58%	79.00%	84.12%	83.37%									
Judecătoria ALEXANDRIA	JudecatoriaALEXANDRIA	117419	10	12671	7751	61%	1151.909	1267.1	9%	10%	99.10%	65	35.44%	67.29%	90.11%	81.58%									
Judecătoria ARAD	JudecatoriaARAD	256771	31	25434	21785	86%	820.4516	820.4516	9%	10%	99.10%	34	70.27%	85.65%	96.80%	89.90%									
Judecătoria AVRIG	JudecatoriaAVRIG	34220	4	1904	1549	81%	476	476	9%	10%	99.10%	43	53.03%	81.36%	86.09%	87.34%									
Judecătoria BABADAG	JudecatoriaBABADAG	42882	3	1726	1331	77%	575.3333	575.3333	9%	10%	99.10%	50	46.89%	77.11%	86.58%	85.50%									
Judecătoria BACĂU	JudecatoriaBACAU	280580	33	33628	25807	77%	960.8	1019.03	9%	10%	99.10%	51	56.91%	81.39%	96.47%	85.39%									
Judecătoria BAIA DE ARAMĂ	JudecatoriaBAIADEARAMA	15955	3	1301	953	73%	433.6667	433.6667	9%	10%	99.10%	70	20.31%	73.25%	72.82%	80.06%									
Judecătoria BAIA MARE	JudecatoriaBAIAMARE	237968	22	19571	14173	72%	850.913	889.5909	9%	10%	99.10%	53	52.52%	75.71%	96.26%	84.80%									
Judecătoria BĂILEŞTI	JudecatoriaBAILESTI	65153	7	7317	5708	78%	1045.286	1045.286	9%	10%	99.10%	93	16.81%	78.01%	83.96%	73.86%									
Judecătoria BĂLCEŞTI	JudecatoriaBALCESTI	36697	5	3183	2277	72%	636.6	636.6	9%	10%	99.10%	40	47.73%	71.54%	82.65%	88.31%									
Judecătoria BALŞ	JudecatoriaBALS	47160	7	5436	4558	84%	679.5	776.5714	9%	10%	99.10%	57	49.13%	95.83%	83.53%	83.69%									
Judecătoria BÂRLAD	JudecatoriaBARLAD	153788	11	8055	6520	81%	575.3571	732.2727	9%	10%	99.10%	55	63.24%	103.02%	95.24%	84.05%									
Judecătoria BECLEAN	JudecatoriaBECLEAN	57133	3	3780	2163	57%	945	1260	9%	10%	99.10%	40	46.11%	76.30%	77.95%	88.29%									
Judecătoria BEIUŞ	JudecatoriaBEIUS	89607	7	3281	2440	74%	468.7143	468.7143	9%	10%	99.10%	56	48.66%	74.37%	94.77%	84.00%									
Judecătoria BICAZ	JudecatoriaBICAZ	44197	5	2985	1572	53%	597	597	9%	10%	99.10%	77	17.12%	52.66%	86.49%	78.23%									
Judecătoria BISTRIŢA	JudecatoriaBISTRITA	136054	16	18235	13143	72%	911.75	1139.688	9%	10%	99.10%	43	61.97%	90.09%	91.62%	87.36%									
Judecătoria BLAJ	JudecatoriaBLAJ	45726	4	2974	2353	79%	743.5	743.5	9%	10%	99.10%	99	13.19%	79.12%	83.74%	72.23%									
Judecătoria BOLINTIN VALE	JudecatoriaBOLINTINVALE	105495	6	7300	3742	51%	912.5	1216.667	9%	10%	99.10%	48	45.45%	68.35%	88.47%	86.04%									
Judecătoria BOTOŞANI	JudecatoriaBOTOSANI	240507	22	39734	30430	77%	1370.138	1806.091	9%	10%	99.10%	65	53.64%	100.95%	92.22%	81.55%									
Judecătoria BRAD	JudecatoriaBRAD	36892	3	4443	3680	83%	1481	1481	9%	10%	99.10%	53	25.45%	82.83%	59.86%	84.66%									
Judecătoria BRĂILA	JudecatoriaBRAILA	230468	21	32003	23705	74%	1142.964	1523.952	9%	10%	99.10%	34	73.53%	98.76%	93.14%	89.85%									
Judecătoria BRAŞOV	JudecatoriaBRASOV	384014	35	51878	38186	74%	1206.465	1482.229	9%	10%	99.10%	44	65.35%	90.43%	96.05%	87.18%									
Judecătoria BREZOI	JudecatoriaBREZOI	30413	6	7165	5357	75%	1023.571	1194.167	9%	10%	99.10%	69	18.09%	87.23%	60.73%	80.45%									
Judecătoria BUFTEA	JudecatoriaBUFTEA	206050	13	28668	15648	55%	1592.667	2205.231	9%	10%	99.10%	49	48.32%	75.58%	88.67%	85.69%									
Judecătoria BUHUŞI	JudecatoriaBUHUSI	37213	4	3009	1339	44%	752.25	752.25	9%	10%	99.10%	56	21.08%	44.50%	79.79%	83.80%									
Judecătoria BUZĂU	JudecatoriaBUZAU	250318	28	49276	38772	79%	1759.857	1759.857	9%	10%	99.10%	39	60.02%	78.68%	92.97%	88.41%									
Judecătoria CALAFAT	JudecatoriaCALAFAT	65482	3	5399	4741	88%	899.8333	1799.667	9%	10%	99.10%	63	70.43%	175.63%	67.02%	81.98%									
Judecătoria CĂLĂRAŞI	JudecatoriaCALARASI	145094	11	12050	10002	83%	1004.167	1095.455	9%	10%	99.10%	35	68.04%	90.55%	92.45%	89.48%									
Judecătoria CÂMPENI	JudecatoriaCAMPENI	49391	4	3323	2639	79%	664.6	830.75	9%	10%	99.10%	53	52.94%	99.27%	83.18%	84.68%									
Judecătoria CÂMPINA	JudecatoriaCAMPINA	149552	12	13605	9717	71%	1046.538	1133.75	9%	10%	99.10%	42	57.43%	77.37%	92.42%	87.79%									
Judecătoria CĂMPULUNG	JudecatoriaCAMPULUNG	126396	13	6438	4889	76%	585.2727	643.8	9%	10%	99.10%	45	60.48%	83.53%	95.33%	86.81%									
Judecătoria CÂMPULUNG MOLDOVENESC	JudecatoriaCAMPULUNGMOLDOVENESC	48664	5	4541	3346	74%	756.8333	908.2	9%	10%	99.10%	53	45.96%	88.42%	81.34%	84.63%									
Judecătoria CARACAL	JudecatoriaCARACAL	112148	13	7145	6106	85%	549.6154	549.6154	9%	10%	99.10%	48	59.56%	85.46%	95.10%	86.12%									
Judecătoria CARANSEBEŞ	JudecatoriaCARANSEBES	102518	6	6800	5172	76%	850	1133.333	9%	10%	99.10%	44	65.07%	101.41%	88.95%	87.27%									
Judecătoria CAREI	JudecatoriaCAREI	85249	5	4710	3864	82%	942	942	9%	10%	99.10%	59	47.18%	82.04%	90.79%	83.20%									
Judecătoria CHIŞINEU CRIŞ	JudecatoriaCHISINEUCRIS	49144	2	2383	2070	87%	794.3333	1191.5	9%	10%	99.10%	41	60.11%	130.30%	63.63%	88.04%									
Judecătoria CLUJ-NAPOCA	JudecatoriaCLUJNAPOCA	402777	43	46324	34908	75%	1029.422	1077.302	9%	10%	99.10%	47	58.45%	78.86%	97.33%	86.24%									
Judecătoria CONSTANŢA	JudecatoriaCONSTANTA	434815	52	70766	52105	74%	1220.103	1360.885	9%	10%	99.10%	33	69.28%	82.13%	96.87%	90.19%									
Judecătoria CORABIA	JudecatoriaCORABIA	74445	4	3307	2669	81%	661.4	826.75	9%	10%	99.10%	62	52.76%	100.88%	88.89%	82.34%									
Judecătoria CORNETU	JudecatoriaCORNETU	182688	15	23101	15640	68%	1443.813	1540.067	9%	10%	99.10%	47	50.43%	72.22%	91.57%	86.25%									
Judecătoria COSTEŞTI	JudecatoriaCOSTESTI	66960	5	5186	4005	77%	864.3333	1037.2	9%	10%	99.10%	35	63.09%	92.67%	84.51%	89.73%									
Judecătoria CRAIOVA	JudecatoriaCRAIOVA	447051	51	64356	49039	76%	1170.109	1261.882	9%	10%	99.10%	38	65.80%	82.18%	97.13%	88.66%									
Judecătoria CURTEA DE ARGEŞ	JudecatoriaCURTEADEARGES	92520	8	5282	3687	70%	660.25	660.25	9%	10%	99.10%	40	54.86%	69.80%	92.86%	88.11%									
Judecătoria DARABANI	JudecatoriaDarabani	42521	3	4616	3233	70%	1154	1538.667	9%	10%	99.10%	70	22.72%	93.39%	63.81%	80.06%									
Judecătoria DEJ	JudecatoriaDEJ	59430	6	4593	3513	76%	765.5	765.5	9%	10%	99.10%	50	46.97%	76.49%	87.12%	85.48%									
Judecătoria DETA	JudecatoriaDETA	49467	4	2552	1976	77%	638	638	9%	10%	99.10%	41	53.65%	77.43%	87.10%	88.04%									
Judecătoria DEVA	JudecatoriaDEVA	109135	18	17959	15222	85%	945.2105	997.7222	9%	10%	99.10%	31	69.01%	89.47%	90.86%	90.64%									
Judecătoria DOROHOI	JudecatoriaDOROHOI	72085	5	6325	4953	78%	1054.167	1265	9%	10%	99.10%	53	49.96%	93.97%	82.45%	84.78%									
Judecătoria DRĂGĂŞANI	JudecatoriaDRAGASANI	60782	9	8403	4528	54%	840.3	933.6667	9%	10%	99.10%	64	28.64%	59.87%	86.04%	81.67%									
Judecătoria DRAGOMIREŞTI	JudecatoriaDRAGOMIRESTI	31874	2	2069	1841	89%	689.6667	1034.5	9%	10%	99.10%	30	72.31%	133.47%	67.54%	91.07%									
Judecătoria DROBETA-TURNU SEVERIN	JudecatoriaDROBETATURNUSEVERIN	136655	24	22595	17612	78%	836.8519	941.4583	9%	10%	99.10%	44	61.62%	87.69%	93.11%	87.20%									
Judecătoria FĂGĂRAŞ	JudecatoriaFAGARAS	72406	9	7846	5906	75%	871.7778	871.7778	9%	10%	99.10%	59	41.46%	75.27%	87.96%	83.18%									
Judecătoria FĂGET	JudecatoriaFAGET	25620	5	1552	1299	84%	310.4	310.4	9%	10%	99.10%	50	51.00%	83.70%	87.88%	85.42%									
Judecătoria FĂLTICENI	JudecatoriaFALTICENI	111917	8	7137	5719	80%	892.125	892.125	9%	10%	99.10%	51	52.08%	80.13%	92.03%	85.17%									
Judecătoria FĂUREI	JudecatoriaFAUREI	50965	2	2565	1596	62%	855	1282.5	9%	10%	99.10%	63	36.25%	93.33%	74.84%	81.87%									
Judecătoria FETEŞTI	JudecatoriaFETESTI	75554	5	6938	4262	61%	867.25	1387.6	9%	10%	99.10%	58	47.97%	98.29%	81.63%	83.37%									
Judecătoria FILIAŞI	JudecatoriaFILIASI	38648	3	2324	1873	81%	774.6667	774.6667	9%	10%	99.10%	53	40.88%	80.59%	79.96%	84.59%									
Judecătoria FOCŞANI	JudecatoriaFOCSANI	251215	21	25648	18834	73%	949.9259	1221.333	9%	10%	99.10%	66	52.13%	94.41%	95.14%	81.25%									
Judecătoria GĂEŞTI	JudecatoriaGAESTI	93118	8	7761	6316	81%	970.125	970.125	9%	10%	99.10%	52	50.52%	81.38%	89.58%	85.11%									
Judecătoria GALAŢI	JudecatoriaGALATI	304837	33	42051	29652	71%	1168.083	1274.273	9%	10%	99.10%	55	51.38%	76.92%	95.82%	84.24%									
Judecătoria GHEORGHENI	JudecatoriaGHEORGHENI	50356	3	3023	2217	73%	604.6	1007.667	9%	10%	99.10%	62	55.46%	122.23%	79.99%	82.18%									
Judecătoria GHERLA	JudecatoriaGHERLA	62677	8	5800	4666	80%	644.4444	725	9%	10%	99.10%	46	58.79%	90.50%	89.59%	86.67%									
Judecătoria GIURGIU	JudecatoriaGIURGIU	175927	19	33739	21220	63%	1606.619	1775.737	9%	10%	99.10%	43	50.43%	69.52%	89.40%	87.53%									
Judecătoria GURA HONŢ	JudecatoriaGURAHONT	34139	2	1519	1193	79%	506.3333	759.5	9%	10%	99.10%	48	61.23%	117.81%	77.75%	86.20%									
Judecătoria GURA HUMORULUI	JudecatoriaGURAHUMORULUI	54338	6	4294	3357	78%	858.8	715.6667	9%	10%	99.10%	48	44.21%	65.15%	89.02%	85.98%									
Judecătoria HÂRLĂU	JudecatoriaHARLAU	78036	5	3590	2250	63%	718	718	9%	10%	99.10%	81	22.91%	62.67%	90.80%	77.13%									
Judecătoria HÂRŞOVA	JudecatoriaHARSOVA	25817	2	1726	1207	70%	863	863	9%	10%	99.10%	49	27.53%	69.93%	66.57%	85.82%									
Judecătoria HAŢEG	JudecatoriaHATEG	33417	3	3005	2027	67%	1001.667	1001.667	9%	10%	99.10%	59	22.22%	67.45%	70.03%	82.96%									
Judecătoria HOREZU	JudecatoriaHOREZU	70049	5	4417	2381	54%	631	883.4	9%	10%	99.10%	74	31.15%	75.47%	87.39%	79.10%									
Judecătoria HUEDIN	JudecatoriaHUEDIN	45817	4	1950	1233	63%	487.5	487.5	9%	10%	99.10%	55	38.91%	63.23%	89.36%	84.08%									
Judecătoria HUNEDOARA	JudecatoriaHUNEDOARA	82206	7	8919	7752	87%	991	1274.143	9%	10%	99.10%	33	73.56%	111.75%	84.50%	90.19%									
