name		procurori				dosare_solutionate																																			
UNITATEA DE PARCHET (ACTIVITATE PROPRIE)	POSTURI DE PROCUROR PREVĂZUTE IN SCHEMA	POSTURI DE PROCUROR OCUPATE EFECTIV	TOTAL LUCRĂRI DE SOLUȚIONAT, DIN CARE:	TOTAL DOSARE DE SOLUȚIONAT	TOTAL LUCRĂRI SOLUȚIONATE, DIN CARE:	TOTAL DOSARE SOLUȚIONATE	PRIN RECHIZITORIU	PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	PRIN RENUNȚARE LA URMĂRIREA PENALĂ	PRIN CLASARE	DOSARE SOLUȚIONATE PÂNĂ ÎN 6 LUNI DE LA SESIZARE	DOSARE SOLUȚIONATE ÎNTRE 6 LUNI ȘI 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE PESTE 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE DUPĂ ÎMPLINIREA TERMENULUI DE PRESCRIPȚIE	DOSARE RĂMASE NESOLUȚIONATE (FĂRĂ A.N.)	DOSARE CU AUTOR NECUNOSCUT RĂMASE NESOLUȚIONATE	DOSARE RESTITUITE DE INSTANȚE SAU TRIMISE PROCURORULUI	DOSARE INFIRMATE SAU CU URMĂRIREA PENALĂ REDESCHISĂ	NR. INCULPAȚI SAU SUSPECȚI DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	PREJUDICII ÎN LEI PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	PREJUDICII ÎN EURO PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	VALOAREA MĂSURILOR ASIGURĂTORII ÎN LEI	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	NR. INCULPAȚI ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI ACHITAȚI DEFINITIV ARESTAȚI PREVENTIV	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI PERSOANE JURIDICE ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE NETRIMIȘI ÎN JUDECATĂ	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI DE SOLUȚIONAT, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI SOLUȚIONATE, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI ADMISE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE PENALE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE PENALE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE CIVILE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE CIVILE
 ALBA IULIA	9	8	18,335	11,843	10,608	4,291	234	23	489	3,545	1,794	780	708	1,009	3,496	3,493	1	23	1,519	340	23	31	2,527,701	80,385	8,579,205	1,156	0	20	0	2	1	0	0	1	259	232	21	53	57	0	0
 CAMPENI	3	3	4,955	2,246	3,915	1,224	119	18	112	975	803	175	170	76	606	153	0	10	649	162	18	12	1,324,548	13,321	84,077	469	0	1	0	1	0	0	0	1	80	74	3	46	28	0	0
 AIUD	4	4	9,139	3,867	7,109	1,903	136	29	110	1,628	877	526	330	170	974	696	0	9	616	179	33	12	4,209,209	58,673	4,734,063	404	0	3	0	0	0	0	0	0	80	74	3	33	18	12	5
 BLAJ	3	3	2,725	1,531	2,109	940	56	1	169	714	620	170	79	71	333	174	0	12	437	72	1	2	13,381	0	0	364	0	1	1	0	0	0	0	0	65	55	9	5	5	0	0
 SEBES	3	3	5,312	3,947	3,053	1,722	53	3	317	1,349	853	284	183	402	941	1,036	0	27	510	56	3	0	198,066	0	12,807	451	0	0	0	1	0	0	0	1	95	80	10	0	0	0	0
 DEVA	9	7	15,343	8,666	10,919	4,779	146	5	1,118	3,510	1,864	419	1,136	1,360	2,017	1,337	0	31	621	172	5	29	2,551,188	850	464,023	444	0	11	0	0	0	0	0	0	168	162	4	98	54	0	3
 HUNEDOARA	8	7	9,474	6,885	5,130	2,595	81	8	374	2,132	1,358	497	372	368	2,247	1,697	1	17	431	124	8	19	559,751	0	62,614	299	0	5	0	0	0	0	0	0	132	127	24	47	39	2	1
 PETROSANI	11	10	16,196	12,732	8,025	4,758	225	1	629	3,903	1,946	1,107	791	914	4,280	2,811	0	25	1,585	340	1	21	155,122	10,000	0	1,244	0	8	0	2	0	0	0	2	257	238	39	27	20	0	0
 BRAD	3	2	3,115	2,059	2,021	1,196	37	3	194	962	646	183	59	308	439	266	0	8	256	50	3	6	473,342	30,275	0	203	0	7	0	0	0	0	0	0	54	10	2	8	5	0	0
 HATEG	3	2	3,385	2,261	2,011	984	34	4	201	745	562	174	122	126	654	480	0	6	331	41	4	0	795,752	0	0	286	0	1	0	2	0	0	0	2	113	26	3	3	2	0	0
 ORASTIE	3	3	3,330	2,382	2,230	1,336	58	13	323	942	699	139	383	115	458	474	0	5	155	75	15	5	10,699	1,000	0	65	0	0	0	1	0	1	0	0	57	41	2	5	4	1	1
 SIBIU	13	13	24,547	17,655	12,264	5,678	329	8	633	4,708	2,979	1,188	1,013	498	5,668	5,355	0	96	1,482	384	9	30	3,130,503	63,348	2,048,835	1,089	0	14	0	40	0	0	0	40	313	287	41	59	56	1	1
 MEDIAS	6	5	6,593	4,464	4,549	2,765	132	3	559	2,071	1,953	338	474	0	796	570	1	22	791	174	4	21	431,334	20,359	117,004	613	0	1	0	6	0	0	0	6	132	123	15	13	15	0	0
 AGNITA	3	3	2,792	1,197	2,407	830	29	0	126	675	652	114	60	4	181	125	0	1	161	40	0	0	67,295	63,300	0	121	0	0	0	1	0	0	0	1	19	13	2	1	1	0	0
 AVRIG	3	2	3,342	1,482	2,354	931	55	5	248	623	750	126	39	16	341	125	0	8	367	63	5	6	36,567	3,000	0	299	0	2	1	0	0	0	0	0	50	32	0	2	3	0	0
 SALISTE	3	2	2,510	1,283	1,900	730	35	3	206	486	492	136	102	0	277	149	0	8	287	54	3	4	24,700	9,580	0	230	0	2	0	0	0	0	0	0	51	30	9	12	8	0	0
 PITESTI	19	17	46,765	29,127	27,919	10,930	336	6	1,168	9,420	2,221	2,103	4,366	2,240	12,616	3,686	2	44	1,362	425	6	41	1,815,552	95,829	177,762	931	1	8	0	3	1	0	0	2	477	400	9	208	95	2	0
