name	perf_2015						perf_2014																		
2015						2014																			
Curţi de apel						Curţi de apel																			
Instanţa	performanţă	operativitate Z	încărcătură Z	siguranţă Z		Instanţa	performanţă	operativitate Z	încărcătură Z	siguranţă Z															
Curtea de Apel CRAIOVA	0.83	0.03	1.43	1.04		Curtea de Apel CRAIOVA	0.86	0.90	1.00	0.69															
Curtea de Apel GALAŢI	0.56	1.05	-0.12	0.74		Curtea de Apel TIMIŞOARA	0.62	0.97	-0.13	1.01															
Curtea de Apel IAŞI	0.43	0.29	0.19	0.80		Curtea de Apel IAŞI	0.51	0.04	0.49	1.00															
Curtea de Apel PLOIEŞTI	0.29	0.05	1.24	-0.42		Curtea de Apel BACĂU	0.35	0.19	0.15	0.69															
Curtea de Apel PITEŞTI	0.17	1.14	-0.98	0.36		Curtea de Apel PLOIEŞTI	0.24	-0.40	1.09	0.02															
Curtea de Apel CLUJ	0.09	-1.04	0.47	0.84		Curtea de Apel CLUJ	0.23	-1.18	0.61	1.26															
Curtea de Apel BACĂU	0.03	-0.49	0.10	0.47		Curtea de Apel ORADEA	0.21	1.58	-0.61	-0.33															
Curtea de Apel Alba	0.02	0.74	-0.48	-0.21		Curtea de Apel BUCUREŞTI	0.06	-1.95	2.05	0.09															
Curtea de Apel SUCEAVA	-0.05	0.64	-0.77	-0.01		Curtea de Apel CONSTANŢA	-0.08	-0.53	0.09	0.19															
Curtea de Apel ORADEA	-0.12	0.01	-0.51	0.15		Curtea de Apel TÂRGU MUREŞ	-0.10	1.06	-2.17	0.83															
Curtea de Apel TIMIŞOARA	-0.16	-1.10	-0.30	0.91		Curtea de Apel Alba	-0.30	-0.07	-1.00	0.17															
Curtea de Apel BRAŞOV	-0.31	-0.27	-0.08	-0.59		Curtea de Apel BRAŞOV	-0.36	0.35	-0.47	-0.95															
Curtea de Apel TÂRGU MUREŞ	-0.55	1.89	-2.07	-1.47		Curtea de Apel SUCEAVA	-0.41	0.84	-0.69	-1.39															
Curtea de Apel CONSTANŢA	-0.55	-1.68	-0.05	0.06		Curtea de Apel PITEŞTI	-0.67	-0.40	-0.41	-1.21															
Curtea de Apel BUCUREŞTI	-0.67	-1.26	1.92	-2.66		Curtea de Apel GALAŢI	-1.16	-1.40	-0.01	-2.06															
																									
Tribunale						Tribunale																			
Instanţa	performanţă	operativitate Z	încărcătură Z	siguranţă Z		Instanţa	performanţă	operativitate Z	încărcătură Z	siguranţă Z															
Tribunalul ARAD	2.26	0.98	1.89	3.92		Tribunalul OLT	0.93	0.98	0.53	1.27															
Tribunalul VASLUI	2.02	2.88	1.07	2.10		Tribunalul PRAHOVA	0.82	0.07	0.47	1.91															
Tribunalul CĂLĂRAŞI	1.83	0.38	2.20	2.91		Tribunalul ARAD	0.75	0.72	0.20	1.32															
Tribunalul IALOMIŢA	1.71	1.33	1.45	2.34		Tribunalul SUCEAVA	0.73	-0.03	0.43	1.80															
Tribunalul DÂMBOVIŢA	1.67	0.49	2.18	2.34		Tribunalul CĂLĂRAŞI	0.68	0.40	0.79	0.84															
Tribunalul VRANCEA	1.61	0.75	1.66	2.43		Tribunalul MUREŞ	0.60	-1.14	0.38	2.56															
Tribunalul HARGHITA	1.55	1.57	0.29	2.78		Tribunalul IALOMIŢA	0.52	0.37	0.28	0.91															
Tribunalul TELEORMAN	1.49	1.12	1.71	1.64		Tribunalul CONSTANŢA	0.46	0.33	0.87	0.16															
Tribunalul CONSTANŢA	1.49	0.20	2.48	1.78		Tribunalul DOLJ	0.41	0.08	1.12	0.04															
Tribunalul ARGES	1.47	-0.01	1.88	2.54		Tribunalul VASLUI	0.38	2.91	-0.08	-1.68															
Tribunalul TULCEA	1.44	1.08	0.09	3.16		Tribunalul DÂMBOVIŢA	0.34	0.10	0.82	0.12															
Tribunalul BUCUREŞTI	1.43	-0.68	3.03	1.95		Tribunalul HARGHITA	0.32	2.00	-1.43	0.39															
Tribunalul TIMIŞ	1.41	0.66	2.12	1.45		Tribunalul VRANCEA	0.27	0.78	0.02	0.01															
Tribunalul MEHEDINŢI	1.35	1.43	0.33	2.30		Tribunalul MEHEDINŢI	0.25	0.36	-0.73	1.11															
Tribunalul BRĂILA	1.34	1.17	1.11	1.73		Tribunalul ALBA	0.22	0.82	-0.63	0.48															
Tribunalul OLT	1.33	0.77	2.01	1.21		Tribunalul GORJ	0.21	0.30	0.08	0.24															
Tribunalul SATU MARE	1.29	1.35	1.12	1.41		Tribunalul BUZĂU	0.19	0.08	0.43	0.07															
Tribunalul CLUJ	1.25	0.24	1.85	1.67		Tribunalul GALAŢI	0.17	0.66	-0.02	-0.12															
Tribunalul ALBA	1.22	0.46	1.24	1.97		Tribunalul IAŞI	0.08	-0.85	1.04	0.05															
Tribunalul IAŞI	1.20	-0.53	2.33	1.80		Tribunalul COVASNA	-0.01	-0.15	-0.43	0.54															
Tribunalul DOLJ	1.19	0.36	2.49	0.74		Tribunalul TELEORMAN	-0.04	0.77	0.47	-1.37															
Tribunalul SUCEAVA	1.17	1.00	1.95	0.56		Tribunalul BUCUREŞTI	-0.05	-1.15	1.67	-0.67															
Tribunalul GALAŢI	1.16	1.13	1.37	0.97		Tribunalul NEAMŢ	-0.10	-1.85	0.69	0.86															
Tribunalul COVASNA	1.08	0.28	0.93	2.03		Tribunalul ARGES	-0.11	0.57	-0.12	-0.77															
Tribunalul BUZĂU	0.95	-0.50	1.67	1.68		Tribunalul BRAŞOV	-0.14	-0.77	0.78	-0.45															
Tribunalul PRAHOVA	0.85	1.03	1.57	-0.06		Tribunalul CARAŞ SEVERIN	-0.26	0.47	-2.15	0.90															
Tribunalul GORJ	0.82	0.32	1.46	0.69		Tribunalul HUNEDOARA	-0.30	0.00	-0.48	-0.43															
Tribunalul BOTOŞANI	0.80	0.66	1.02	0.71		Tribunalul TIMIŞ	-0.31	-0.51	0.84	-1.25															
Tribunalul MUREŞ	0.77	0.35	1.81	0.16		Tribunalul MARAMUREŞ	-0.33	-0.19	0.05	-0.85															
Tribunalul BRAŞOV	0.75	-0.30	2.12	0.45		Tribunalul CLUJ	-0.34	0.29	-0.08	-1.23															
Tribunalul BACAU	0.75	-0.72	2.04	0.93		Tribunalul BRĂILA	-0.37	-0.38	0.12	-0.84															
Tribunalul HUNEDOARA	0.69	1.28	0.58	0.20		Tribunalul BOTOŞANI	-0.41	-0.54	0.00	-0.70															
Tribunalul CARAŞ SEVERIN	0.60	-0.32	0.17	1.95		Tribunalul GIURGIU	-0.42	0.30	-1.82	0.25															
Tribunalul SĂLAJ	0.49	1.25	-0.43	0.64		Tribunalul SIBIU	-0.45	-1.21	-0.55	0.42															
Tribunalul MARAMUREŞ	0.44	0.15	1.35	-0.18		Tribunalul BACAU	-0.48	-0.95	0.56	-1.03															
Tribunalul GIURGIU	0.39	0.55	-1.47	2.10		Tribunalul TULCEA	-0.57	0.99	-1.54	-1.16															
Tribunalul ILFOV	0.36	0.03	-1.54	2.57		Tribunalul SATU MARE	-0.62	0.76	-1.18	-1.43															
Tribunalul VÂLCEA	0.36	0.26	0.74	0.07		Tribunalul ILFOV	-0.76	-1.83	-0.32	-0.14															
Tribunalul BISTRIŢA NĂSĂUD	0.27	0.81	-0.32	0.32		Tribunalul VÂLCEA	-0.77	-0.83	-0.34	-1.15															
Tribunalul NEAMŢ	0.21	-1.63	1.79	0.48		Tribunalul BIHOR	-0.85	-1.73	-0.17	-0.64															
Tribunalul SIBIU	0.12	-0.84	0.88	0.33		Tribunalul BISTRIŢA NĂSĂUD	-1.00	-0.41	-1.71	-0.88															
Tribunalul BIHOR	0.10	-0.47	0.64	0.13		Tribunalul SĂLAJ	-1.17	1.30	-3.26	-1.56															
																									
Judecătorii						Judecătorii																			
Instanţa	performanţă	operativitate Z	încărcătură Z	siguranţă Z		Instanţa	performanţă	operativitate Z	încărcătură Z	siguranţă Z															
Judecătoria SECTORUL 5 BUCUREŞTI	1.23	1.42	0.71	1.56		Judecătoria TÂRGU BUJOR	1.28	5.06	-2.24	1.03															
Judecătoria PETROŞANI	1.22	1.61	0.37	1.67		Judecătoria TÂRGU LAPUŞ	1.10	1.06	1.16	1.08															
Judecătoria TÂRGU LAPUŞ	0.95	1.19	1.12	0.53		Judecătoria ODORHEIUL SECUIESC	1.03	0.94	0.74	1.42															
Judecătoria HUNEDOARA	0.94	1.53	-0.14	1.44		Judecătoria SECTORUL 5 BUCUREŞTI	1.01	1.23	0.84	0.95															
Judecătoria BRĂILA	0.94	0.76	0.72	1.35		Judecătoria IAŞI	0.97	1.02	1.24	0.65															
Judecătoria PLOIEŞTI	0.91	0.23	0.77	1.73		Judecătoria SIBIU	0.95	0.63	0.73	1.48															
Judecătoria DRAGOMIREŞTI	0.89	2.80	-1.83	1.70		Judecătoria SECTORUL 3 BUCUREŞTI	0.91	0.84	0.83	1.07															
Judecătoria INEU	0.82	1.41	-0.20	1.26		Judecătoria GURA HONŢ	0.91	2.84	-1.23	1.11															
Judecătoria CALAFAT	0.82	5.29	-1.88	-0.95		Judecătoria MEDIAŞ	0.90	0.34	0.88	1.50															
Judecătoria ARAD	0.81	-0.01	1.08	1.36		Judecătoria DRAGOMIREŞTI	0.89	2.81	-2.16	2.02															
Judecătoria CONSTANŢA	0.77	-0.22	1.09	1.44		Judecătoria ARAD	0.86	-0.22	1.14	1.64															
Judecătoria DEVA	0.76	0.21	0.49	1.58		Judecătoria BÂRLAD	0.84	0.93	1.00	0.59															
Judecătoria MEDIAŞ	0.72	0.19	0.91	1.07		Judecătoria CĂLĂRAŞI	0.77	-0.14	0.86	1.60															
Judecătoria CĂLĂRAŞI	0.72	0.28	0.65	1.24		Judecătoria URZICENI	0.76	1.22	0.58	0.48															
Judecătoria REGHIN	0.72	0.69	0.54	0.92		Judecătoria BRĂILA	0.76	0.79	0.78	0.69															
Judecătoria SECTORUL 6 BUCUREŞTI	0.71	-0.13	1.11	1.16		Judecătoria TIMIŞOARA	0.75	0.07	1.25	0.93															
Judecătoria SECTORUL 3 BUCUREŞTI	0.68	0.73	0.69	0.61		Judecătoria CĂMPULUNG	0.67	0.52	0.95	0.53															
Judecătoria ALBA IULIA	0.68	0.58	0.48	0.98		Judecătoria REGHIN	0.65	0.58	0.43	0.93															
Judecătoria CRAIOVA	0.63	-0.22	1.11	1.00		Judecătoria VASLUI	0.63	0.40	0.93	0.57															
Judecătoria SECTORUL 2 BUCUREŞTI	0.62	0.18	0.62	1.08		Judecătoria HUNEDOARA	0.63	0.35	0.20	1.33															
Judecătoria BRAŞOV	0.61	0.27	1.01	0.56		Judecătoria CONSTANŢA	0.62	0.59	1.18	0.07															
Judecătoria CARANSEBEŞ	0.60	0.92	0.30	0.59		Judecătoria INEU	0.60	0.19	-0.40	2.01															
Judecătoria SECTORUL 4 BUCUREŞTI	0.60	0.12	0.76	0.92		Judecătoria DROBETA-TURNU SEVERIN	0.59	0.02	0.70	1.04															
Judecătoria ONEŞTI	0.57	-0.14	0.83	1.01		Judecătoria PETROŞANI	0.58	0.62	0.42	0.69															
Judecătoria TIMIŞOARA	0.55	-0.40	1.19	0.86		Judecătoria DEVA	0.56	0.47	0.40	0.82															
Judecătoria SECTORUL 1 BUCUREŞTI	0.55	0.16	0.61	0.87		Judecătoria TECUCI	0.55	0.30	0.63	0.72															
Judecătoria BÂRLAD	0.53	1.01	0.93	-0.35		Judecătoria MEDGIDIA	0.55	0.22	0.48	0.94															
Judecătoria COSTEŞTI	0.52	0.40	-0.14	1.31		Judecătoria ALBA IULIA	0.54	-0.20	0.70	1.13															
Judecătoria IAŞI	0.50	0.02	1.14	0.36		Judecătoria SLOBOZIA	0.53	1.45	0.24	-0.10															
Judecătoria SATU MARE	0.50	0.03	0.97	0.51		Judecătoria CARANSEBEŞ	0.53	0.40	0.19	1.00															
Judecătoria PANCIU	0.50	1.54	-1.96	1.92		Judecătoria GIURGIU	0.50	0.86	0.36	0.29															
Judecătoria URZICENI	0.49	0.26	0.49	0.73		Judecătoria HUŞI	0.50	0.48	0.53	0.48															
Judecătoria SIBIU	0.49	0.24	0.76	0.46		Judecătoria AVRIG	0.50	1.41	-0.65	0.73															
Judecătoria SEBEŞ	0.48	1.08	-0.74	1.11		Judecătoria LEHLIU-GARA	0.50	0.59	0.07	0.83															
Judecătoria BISTRIŢA	0.48	0.25	0.57	0.62		Judecătoria BRAŞOV	0.49	-0.27	1.07	0.66															
Judecătoria TECUCI	0.47	0.05	0.73	0.62		Judecătoria SECTORUL 6 BUCUREŞTI	0.49	0.09	1.19	0.18															
