instanța	cod	site	email	telefon	fax	program	adresa																		
Tribunalul ALBA	TribunalulALBA	http://portal.just.ro/107/SitePages/prezentare.aspx	tribunalul.alba@just.ro	0258813511, 0258813510, 0258811576	0258/811184	"Program de funcţionare: 7:30-15:30
Program de audienţe: 7:30-15:30
Biroul de informare şi relaţii publice: luni – vineri 7:30-15:30 ; marţi 7:30-18:00"	Piaţa Iuliu Maniu nr. 24, Alba Iulia, judeţul Alba, cod postal 510111																		
Tribunalul ARAD	TribunalulARAD	http://portal.just.ro/108/SitePages/prezentare.aspx	tr-arad@just.ro	0257/253630, 0257/228908	0257/251700, 0257256484 (registratură)	"Arhivă: Luni – Vineri -  08.30- 12.30, Joi - 08.30-12.30 ; 13.00-15.00
Registratură: Luni – Vineri - 08.30 - 12.30, Joi - 08.30-12.30 ; 13.00-15.00
Apostille – Biblioteca: Luni - Vineri – 09.00 – 11.00 – primire acte
Biroul de informare şi relaţii publice: Luni –Vineri – 08.30-12.30, Miercuri – 08.30 – 12.30; 15 - 18"	Arad, Bd. V. Milea nr. 2-4, Cod   310131																		
Tribunalul ARGES	TribunalulARGES	http://portal.just.ro/109/SitePages/prezentare.aspx	tr-arges@just.ro	(0248) 216 599	(0248) 210 888, (0248) 212 410 (transmis documente)	"Arhiva :Luni - Vineri 08:30 - 12:30Executări penale: Zilnic intre 8:30 - 12:30
Biroul Apostile: Primire acte: Joi şi vineri 8:30 - 12:30; Eliberare acte: Joi şi vineri 14:00 - 15:30
Biroul de Informare şi Relaţii Publice - Luni - Vineri 07:30 - 15:30, Joi 15:30 - 18:30"	B-dul I.C. Brătianu Nr.7, Piteşti - Argeş																		
Tribunalul BACAU	TribunalulBACAU	http://portal.just.ro/110/SitePages/prezentare.aspx	tr-bacau-info@just.ro 	 0234/207604, arhivă: 0234/207605, birou expertize tehnico-judiciare:0234/207603 	0234/207601, registratură : 0234/207606 	"Arhivă- program de lucru cu publicul :
- zilnic 08.30 - 09.00 pentru relaţii cu publicul
- zilnic 10.00 - 13.00 pentru studiere dosare
- luni, miercuri, vineri : 10.00 - 10.30 pentru eliberare acte legalizate

 Registratură - program de lucru cu publicul:
- zilnic : 08.30 - 13.00: pentru relaţii şi primire documente

Biroul Apostile - program de lucru cu publicul:
- joi : 10.00 - 11.30: primire acte
         15.00 - 15.30: eliberare acte

Biroul de informare şi relaţii publice :
- zilnic 08.00 - 16.00 (persoană de contact Albescu Mihaela) 
- luni 16.00 - 19.00 (persoană de contact Ciobanu Maria)
- miercuri, joi, vineri : 10.00 - 13.00 program cu publicul  
"	Str.Cuza Vodă nr.1 Cod 600274, Bacău 																		
Tribunalul BIHOR	TribunalulBIHOR	http://portal.just.ro/111/SitePages/prezentare.aspx	tribunalulbihor@just.ro, tr-bihor-reg@just.ro (registratură), tr-bihor-arh@just.ro (arhivă)	0259414896, 0359432753	0359432750, 0359432750 (registratură)	"Arhiva (camera 143, et. 1): zilnic între 830 – 1130
Arhiva falimente (camera 144, et. 1): zilnic între 830 – 1130
Registratură (camera 148, et. 1): zilnic între 830 – 1130; 
Biroul de informare şi relaţii publice (camera 117, et. 1): luni între 800 – 1900  , marţi – vineri între 800 – 1600,
Birou apostile (camera 121, et 1): preluare acte: joi  între 9.00 – 11.00; predare acte:  vineri între 11.00 -12.00"	Oradea, Str. Traian Lalescu nr. 1, cod 410174, jud. Bihor																		
Tribunalul BISTRIŢA NĂSĂUD	TribunalulBISTRITANASAUD	http://portal.just.ro/112/SitePages/prezentare.aspx	tribunalul-bistritanasaud-info@just.ro	0263-213528	0263-231509	Zilnic între orele 7.30 – 15.30	Municipiul Bistriţa, Str. Alba Iulia, Nr.1, Cod poştal 420178, Judeţul Bistriţa-Năsăud																		
Tribunalul BOTOŞANI	TribunalulBOTOSANI	http://portal.just.ro/40/SitePages/prezentare.aspx	tr-botosani@just.ro	0231/511739	0231/531832	"Programul de lucru al instanţei: zilnic, 8:00 – 16:00
Programul Biroului de informare şi relaţii publice: Luni-vineri, 8:00 – 16:00, Joi, 8:00 – 19:00

Program arhivă şi registratură
Program cu publicul – Luni-vineri, 9:00 – 13:00
Program pentru primirea actelor de sesizare și orice alte cereri adresate instanței – zilnic, 8:30 – 12:30
Eliberare certificate constatatoare – zilnic, 12:00 – 13:00
Eliberare copii înscrisuri/hotărâri judecătorești etc. – în zilele de miercuri și vineri, în cadrul programului cu publicul
Pronunțări – zilnic, 15:00 – 15:30"	Str. Maxim Gorki, Nr.8, Cod postal 710171																		
Tribunalul BRĂILA	TribunalulBRAILA	http://portal.just.ro/113/SitePages/prezentare.aspx	tr-braila@just.ro, tr-braila-brp@just.ro	"Centrala: 0239/613975, 0239/613976
Secretariat: 0239/613370"	0239/612608	"Program de lucru: între orele 7.30 şi 15.30
Arhiva instanţei: luni – vineri orele 8-12
Arhiva veche a tribunalului: zilnic în orele de program ;
Primiri de acţiuni de către şefii de secţii: luni – vineri orele 12-15;
Prim grefier şi grefierii şefi de secţie: zilnic în orele de program;
Grefieri sindici
Program lichidatori şi justiţiabili luni - vineri orele 1000 ÷ 1200
Program arhiva veche vineri orele 1100 ÷ 1300
Biroul de Informare şi Relaţii Publice: program de audienţe - miercuri orele 12-14 "	Strada CĂLĂRAŞILOR NR.47, localitatea Brăila, Judeţul Brăila, cod 810017																		
Tribunalul BRAŞOV	TribunalulBRASOV	http://portal.just.ro/62/SitePages/prezentare.aspx	trbrasov@just.ro	0268/419615	0268/418054	"Prim grefier (cam.62 interior 121): Luni-Vineri: 8:00-16:00
Biroul de Informații și Relații Publice (cam. 38 interior 113) :Luni-Vineri: 8:30-12:00, Marți: 15:00-18:00
Registratura acțiuni /Repartizare ECRIS (cam. 7 bis interior 222): Luni- Vineri: 8:30-12:30
Registratura primiri acte (cam. 7 interior 351): Luni- Vineri: 8:30-12:30
Arhiva: Luni- Vineri: 8:30-12:30
Biroul de Executari penale (cam. 92 interior 355): Luni- Vineri: 8:30-12:30
Apostile  (cam. 4 interior 352): Luni, Miercuri, Vineri: 10.00-12.00 (primiri acte), 14:00- 16:00 (eliberări acte)"	Braşov, B-dul 15 Noiembrie nr. 45, Cod poştal 50009																		
Tribunalul BUCUREŞTI	TribunalulBUCURESTI	http://www.tmb.ro/ , http://portal.just.ro/3/SitePages/prezentare.aspx	tribunalul-bucuresti@just.ro; tr-bucuresti@just.ro	021 – 408.36.00; 408.37.00, 4083600 – int. 105(BIRP)		Biroul de Informare şi RelaţiiPublice: Luni – orele 0800 – 1900, Marţi, Miercuri, Joi, Vineri – orele 0800 – 1600.	Bulevardul Unirii nr.37, sectorul 3, cod postal 030823																		
