nume	cod	populatie	judecatori	stoc	dosare_solutionate		incarcatura	incarcatura_judecator	indice_atacabilitate	indice_casare		durata	performanta	operativitate	incarcatura	siguranta									
Denumirea instantei in clar (cu diactritice)	Codul informatic al instantei (din portal)	Populația	Numar de judecatori	Stoc (total volum de activitate al instantei)	Dosare solutionate	Operativitate (procent solutionate din stoc)	Incarcatura pe schema	Incarcatura pe judecator	Indice de atacabilitate (procent atacate din solutionate)	Indice de casare/desfiintare	Indicator de "siguranta" (100%-Desfiintare*Atacare) [ne mai gandim la denumire - certitudine/ stabilitate/ predictibilitate]	Durata in zile (extras din portal, ca diferenta dintre data inregistrarii dosarului si data solutionarii)	Performanta pentru gogoasa	Operativitatea relativa	Incarcatura relativa	Siguranta relativa									
Tribunalul ALBA	TribunalulALBA	342376	28	14138	10153	72%	623	668	48%	10%	95.20%														
Tribunalul ARAD	TribunalulARAD	430629	31	14601	11919	82%	593	612	48%	10%	95.20%														
Tribunalul ARGES	TribunalulARGES	612431	31	20851	13407	64%	940	1031	48%	10%	95.20%														
Tribunalul BACAU	TribunalulBACAU	616168	38	24084	14576	61%	984	984	48%	10%	95.20%														
Tribunalul BIHOR	TribunalulBIHOR	575398	31	33431	17464	52%	1321	1619	48%	10%	95.20%														
Tribunalul BISTRIŢA NĂSĂUD	TribunalulBISTRITANASAUD	286225	19	12998	9620	74%	802	887	48%	10%	95.20%														
Tribunalul BOTOŞANI	TribunalulBOTOSANI	412626	24	15864	11687	74%	916	992	48%	10%	95.20%														
Tribunalul BRAŞOV	TribunalulBRASOV	549217	41	21060	13341	63%	699	733	48%	10%	95.20%														
Tribunalul BRĂILA	TribunalulBRAILA	321212	21	10459	7947	76%	643	735	48%	10%	95.20%														
Tribunalul BUCUREŞTI	TribunalulBUCURESTI	1883425	198	153217	80744	53%	1021	1185	48%	10%	95.20%														
Tribunalul BUZĂU	TribunalulBUZAU	451069	26	14286	8755	61%	903	938	48%	10%	95.20%														
Tribunalul CARAŞ SEVERIN	TribunalulCARASSEVERIN	295579	20	12436	7154	58%	668	768	48%	10%	95.20%														
Tribunalul CĂLĂRAŞI	TribunalulCALARASI	306691	18	5020	3808	76%	389	389	48%	10%	95.20%														
Tribunalul CLUJ	TribunalulCLUJ	691106	31	23905	16096	67%	1051	1153	48%	10%	95.20%														
Tribunalul Comercial ARGEŞ	TribunalulComercialARGES	612431	8	3717	1856	50%	426	479	48%	10%	95.20%														
Tribunalul Comercial CLUJ	TribunalulComercialCLUJ	691106	11	7208	3947	55%	846	1000	48%	10%	95.20%														
Tribunalul Comercial MUREŞ	TribunalulComercialMURES	550846	9	5644	3065	54%	730	811	48%	10%	95.20%														
Tribunalul CONSTANŢA	TribunalulCONSTANTA	684082	54	27848	19673	71%	711	738	48%	10%	95.20%														
Tribunalul COVASNA	TribunalulCOVASNA	210177	14	4537	3150	69%	409	439	48%	10%	95.20%														
Tribunalul DÂMBOVIŢA	TribunalulDAMBOVITA	518745	31	14772	10127	69%	604	682	48%	10%	95.20%														
Tribunalul DOLJ	TribunalulDOLJ	660544	69	33667	24391	72%	627	654	48%	10%	95.20%														
Tribunalul GALAŢI	TribunalulGALATI	536167	30	22486	15321	68%	842	1066	48%	10%	95.20%														
Tribunalul GIURGIU	TribunalulGIURGIU	281422	14	12110	7370	61%	1122	1442	48%	10%	95.20%														
Tribunalul GORJ	TribunalulGORJ	341594	49	22544	16245	72%	605	630	48%	10%	95.20%														
Tribunalul HARGHITA	TribunalulHARGHITA	310867	11	7421	5030	68%	653	890	48%	10%	95.20%														
