name		procurori				dosare_solutionate																																			
UNITATEA DE PARCHET (ACTIVITATE PROPRIE)	POSTURI DE PROCUROR PREVĂZUTE IN SCHEMA	POSTURI DE PROCUROR OCUPATE EFECTIV	TOTAL LUCRĂRI DE SOLUȚIONAT, DIN CARE:	TOTAL DOSARE DE SOLUȚIONAT	TOTAL LUCRĂRI SOLUȚIONATE, DIN CARE:	TOTAL DOSARE SOLUȚIONATE	PRIN RECHIZITORIU	PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	PRIN RENUNȚARE LA URMĂRIREA PENALĂ	PRIN CLASARE	DOSARE SOLUȚIONATE PÂNĂ ÎN 6 LUNI DE LA SESIZARE	DOSARE SOLUȚIONATE ÎNTRE 6 LUNI ȘI 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE PESTE 1 AN DE LA SESIZARE	DOSARE SOLUȚIONATE DUPĂ ÎMPLINIREA TERMENULUI DE PRESCRIPȚIE	DOSARE RĂMASE NESOLUȚIONATE (FĂRĂ A.N.)	DOSARE CU AUTOR NECUNOSCUT RĂMASE NESOLUȚIONATE	DOSARE RESTITUITE DE INSTANȚE SAU TRIMISE PROCURORULUI	DOSARE INFIRMATE SAU CU URMĂRIREA PENALĂ REDESCHISĂ	NR. INCULPAȚI SAU SUSPECȚI DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI TRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	PREJUDICII ÎN LEI PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	PREJUDICII ÎN EURO PRODUSE DE INCULPAȚII TRIMIȘI ÎN JUDECATĂ	VALOAREA MĂSURILOR ASIGURĂTORII ÎN LEI	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI NETRIMIȘI ÎN JUDECATĂ ARESTAȚI PREVENTIV	NR. INCULPAȚI ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI ACHITAȚI DEFINITIV ARESTAȚI PREVENTIV	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE DIN CAUZELE SOLUȚIONATE	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN RECHIZITORIU	NR. INCULPAȚI PERSOANE JURIDICE TRIMIȘI ÎN JUDECATĂ PRIN ACORDURI DE RECUNOAȘTERE A VINOVĂȚIEI	NR. INCULPAȚI PERSOANE JURIDICE ACHITAȚI DEFINITIV INDIFERENT DE PERIOADA TRIMITERII ÎN JUDECATĂ	NR. INCULPAȚI SAU SUSPECȚI PERSOANE JURIDICE NETRIMIȘI ÎN JUDECATĂ	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI DE SOLUȚIONAT, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI SOLUȚIONATE, DIN CARE:	TOTAL PLÂNGERI ÎMPOTRIVA ACTELOR ȘI MĂSURILOR PROCURORULUI ADMISE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE PENALE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE PENALE	TOTAL CĂI DE ATAC DECLARATE DE PROCUROR ÎN CAUZELE CIVILE, DIN CARE:	TOTAL CĂI DE ATAC ADMISE ÎN CAUZELE CIVILE
 ALBA	13	11	6,953	1,256	6,147	587	35	8	39	505	238	92	239	18	380	105	0	2	229	57	9	13	1,886,148	23,756	165,508	163	0	7	1	0	0	0	0	0	127	105	4	43	29	4	0
 HUNEDOARA	14	11	8,114	1,679	6,714	740	57	1	25	657	149	243	263	85	636	32	0	12	379	102	1	13	13,146,591	2,900	3,919,029	276	0	2	0	1	0	0	0	1	294	258	48	46	26	4	1
 SIBIU	15	13	3,812	1,178	3,015	557	69	1	18	469	193	155	209	0	430	20	2	24	377	117	1	26	19,182,149	31,000	14,405,480	259	0	3	1	7	0	0	0	7	196	160	19	28	19	3	1
 ARGES	17	13	11,290	1,531	9,912	409	33	0	0	376	96	96	217	0	678	25	1	3	156	83	0	11	590,952	0	30,781	73	0	0	0	0	0	0	0	0	200	181	2	18	10	0	0
 VALCEA	14	12	6,423	1,495	5,468	998	83	2	146	767	306	270	400	22	374	29	0	16	489	110	2	10	7,076,604	1,350	936,934	377	0	3	2	0	0	0	0	0	323	301	7	26	16	0	2
 BACAU	15	13	9,345	2,726	6,840	1,535	113	1	71	1,350	102	131	1,283	19	830	18	1	21	383	144	1	52	3,249,051	1,718	1,065,795	238	0	4	1	52	9	0	0	43	210	196	76	53	48	1	0
 NEAMT	15	12	5,406	2,133	4,641	1,656	160	1	145	1,350	355	623	529	149	347	20	0	16	657	232	1	21	9,081,543	156,379	573,643	424	0	1	0	10	0	0	0	10	209	195	19	20	16	0	0
 BIHOR	14	11	9,400	1,852	7,602	658	82	4	11	561	174	119	357	8	860	45	3	22	568	156	8	22	55,273,506	3,000	43,906,796	404	0	1	0	121	20	1	0	100	164	142	33	32	16	3	2
 SATU MARE	12	5	6,184	915	5,589	477	41	0	14	422	240	96	138	3	253	107	0	3	188	68	0	25	9,604,930	0	7,377,223	120	0	4	2	5	4	0	0	1	103	87	11	39	28	3	1
 SUCEAVA	14	12	7,863	1,076	7,013	620	91	1	142	386	247	213	152	8	352	17	0	7	315	115	1	28	1,112,597	35,500	184,571	199	0	1	0	1	0	0	0	1	163	141	15	23	18	0	0
 BOTOSANI	13	12	8,598	1,234	8,014	911	65	4	162	680	465	182	153	111	215	44	0	15	406	94	5	9	8,165,569	8,350	4,345,100	307	0	4	0	3	0	0	0	3	282	244	17	12	11	0	0
 BRASOV	16	14	8,295	1,848	6,801	778	148	11	83	536	171	147	415	45	743	9	1	19	513	216	12	32	11,085,642	2,267,839	2,249,648	285	1	18	0	6	0	0	1	6	234	199	28	108	46	0	1
 COVASNA	10	8	3,163	905	2,814	616	24	1	163	428	347	158	97	14	190	10	0	2	150	28	1	10	1,178,627	0	502,827	121	1	1	0	5	0	0	0	5	69	63	1	19	12	0	0
 pentru minori si familie BRASOV	4	2	2,355	90	2,280	76	20	0	2	54	30	15	31	0	5	0	0	1	79	39	0	2	48,471	3,000	0	40	0	2	1	0	0	0	0	0	7	3	0	3	3	2	2
 BUCURESTI	68	60	43,715	15,127	30,093	2,938	160	2	34	2,742	216	462	2,247	13	8,295	439	0	23	1,262	449	2	166	247,112,659	4,824,591	61,487,782	811	0	7	3	5	0	0	0	5	351	266	34	254	183	34	34
 ILFOV	11	11	8,231	3,458	5,503	954	39	0	5	910	86	101	748	19	2,210	10	0	7	127	57	0	16	24,526,128	1,728,935	2,185,697	70	0	0	0	1	0	0	0	1	144	133	2	37	25	3	0
 CALARASI	12	7	3,989	1,405	2,936	457	54	1	3	399	123	174	139	21	575	26	1	2	178	113	1	26	8,212,061	0	2,853,348	64	0	1	0	3	0	0	0	3	75	69	0	19	15	1	0
 GIURGIU	10	8	7,270	1,393	6,236	579	47	3	4	525	177	109	282	11	648	28	1	7	247	68	24	27	30,441,378	745,164	11,320,327	155	5	0	0	3	1	0	0	2	106	85	3	63	38	0	0
 IALOMITA	11	8	4,532	1,204	3,733	549	86	1	15	447	188	185	175	1	407	25	0	1	195	107	1	24	6,997,327	57,900	4,180,422	87	1	7	0	1	1	0	0	0	50	41	0	25	24	0	0
 TELEORMAN	13	11	3,803	1,149	3,112	587	34	0	19	534	375	105	106	1	429	9	0	2	104	46	0	9	3,380,901	0	1,055,907	58	1	3	0	0	0	0	0	0	110	87	4	15	15	0	0
 CLUJ	17	16	8,526	2,688	7,079	1,471	190	0	55	1,226	302	403	577	189	596	451	2	21	651	282	0	13	12,520,019	82,136	1,379,153	369	0	3	0	6	0	0	0	6	307	260	34	35	18	3	1
 BISTRITA NASAUD	10	9	5,939	1,181	5,267	666	130	3	31	502	209	111	346	0	374	30	0	10	713	190	8	19	12,067,654	1,549,006	4,719,635	515	1	2	0	0	0	0	0	0	128	117	4	7	2	1	1
 MARAMURES	13	11	4,987	1,367	4,026	622	155	0	28	439	132	118	312	60	631	47	0	10	416	188	0	21	8,153,776	0	1,407,177	228	5	6	1	2	0	0	0	2	213	187	34	20	4	0	0
 SALAJ	10	8	2,457	803	2,045	481	82	9	20	370	138	131	174	38	250	5	4	6	429	134	14	10	9,284,220	14,722	13,560,362	281	0	4	0	1	0	1	0	0	89	81	11	20	8	0	0
 CONSTANTA	23	19	17,504	5,372	13,814	2,232	306	5	163	1,758	296	321	1,581	34	2,449	195	2	23	1,607	443	8	70	504,888,586	1,701,412	2,173,377	1,156	0	39	10	74	46	0	1	28	368	251	38	66	39	3	0
 TULCEA	10	7	5,536	1,337	4,773	666	98	19	171	378	168	199	299	0	570	8	0	2	467	135	20	22	769,245	0	684,612	312	0	1	0	1	0	0	0	1	79	71	8	16	18	1	0
 DOLJ	20	19	16,743	1,385	15,232	618	110	0	70	438	312	127	173	6	556	37	2	6	306	145	0	42	26,167,299	0	2,688,229	161	1	2	0	0	0	0	0	0	258	221	6	58	60	2	2
 GORJ	14	11	6,769	1,025	5,632	441	50	1	7	383	139	137	165	0	392	28	0	13	210	67	1	21	11,594,311	0	4,898,073	142	0	8	0	20	2	0	0	18	241	183	11	40	42	0	0
 MEHEDINTI	13	13	6,471	1,337	5,669	858	73	4	165	616	518	242	91	7	331	20	0	14	334	115	4	14	11,681,154	0	4,386,750	215	1	2	0	1	0	0	0	1	293	227	31	33	20	0	0
 OLT	13	11	5,193	1,022	4,492	501	91	1	83	326	161	130	209	1	402	10	0	36	441	113	1	30	21,764,985	0	6,871,924	327	1	6	1	0	0	0	0	0	222	196	25	38	32	0	0
 GALATI	19	11	10,682	2,254	8,893	1,273	131	0	59	1,083	577	329	326	41	755	28	0	5	504	215	0	51	17,181,349	236,807	3,978,534	289	0	8	1	4	0	0	0	4	202	158	19	41	32	0	1
 BRAILA	14	8	7,631	2,935	6,439	1,880	200	0	359	1,321	1,003	463	389	25	857	45	0	11	486	229	0	21	18,592,621	4,000	2,202,749	257	0	7	0	0	0	0	0	0	173	167	5	10	9	0	0
 VRANCEA	14	13	8,460	2,965	7,072	2,160	204	1	524	1,431	1,779	325	49	7	678	4	0	18	967	238	1	27	4,161,352	61,000	1,535,522	728	0	15	2	0	0	0	0	0	290	281	9	47	34	0	0
 IASI	22	20	12,751	3,858	9,626	1,195	124	2	50	1,019	211	198	745	41	2,330	100	1	36	723	151	2	55	5,692,920	0	1,475,569	570	0	11	0	3	0	0	0	3	276	253	32	54	40	4	4
 VASLUI	12	11	7,541	1,534	6,702	1,043	71	1	55	916	480	204	157	202	293	45	1	10	263	87	4	15	1,249,402	0	291,643	172	1	3	0	0	0	0	0	0	121	104	4	26	19	1	1
 MURES	12	12	8,491	2,105	7,115	879	60	0	20	799	142	132	598	7	1,107	17	0	6	293	81	0	22	3,647,509	0	1,374,949	212	2	2	0	1	0	0	0	1	121	109	15	24	8	1	2
