instanța	cod	site	email	telefon	fax	program	adresa																		
Judecătoria ADJUD	JudecatoriaADJUD	http://portal.just.ro/173/SitePages/prezentare.aspx	jud-adjud@just.ro	0237.642.000	0372.001.679; 0237.641.337	"Programul de funcţionare a Judecătoriei Adjud este de la 8.00 – 16.00.
Programul de lucru cu publicul la arhivă este zilnic intre orele 8.30 – 12.30.
Programul la Biroul de informaţii şi relaţii publice este: luni, miercuri, joi şi vineri între orele 10.30 – 12.30 şi marţi 10.30 -17.00."	Str. Copăceşti, nr. 2-4, cod poştal 625100, Adjud, jud. Vrancea																		
Judecătoria AGNITA	JudecatoriaAGNITA	http://portal.just.ro/174/SitePages/prezentare.aspx	jud.agnita@just.ro	0269.510.875	0269.510.875	"Luni – Vineri: orele 7,30 – 15,30
Registratură: orele 8,00 – 13,00
Arhivă : orele 8,00 – 13,00
Biroul Informare şi Relaţii Publice: luni – vineri: orele: 8,00 – 13,00; Joi: orele 15,30 – 18,30"	Str. Aurel Vlaicu nr. 8, 555100, Agnita, Judeţul Sibiu																		
Judecătoria AIUD	JudecatoriaAIUD	http://portal.just.ro/175/SitePages/prezentare.aspx	camelia.costan@just.ro	0258.863.153; 0258.860.677	0258.863.153; 0258.860.677	"Programul de lucru pentru personalul instanţei: Luni - Vineri 07:30 - 15:30
Programul de lucru cu publicul pentru:
- Registratură (camera 4): Luni: 09:00 - 13:00; 15:00 - 18:00; Marţi - Vineri: 09:00 - 13:00
- Arhivă (camera 5): Luni - Vineri: 09:00 - 13:00
Biroul de informare şi relaţii publice (camera 18): Luni: 07:00 - 17:00 Marţi - Vineri: 07:00 - 15:00
Audienţe preşedintele instanţei (camera 7): Miercuri, Vineri: 10:00 - 12:00"	Aiud, str.Morii nr.7A, judeţul Alba, Cod poştal 515200																		
Judecătoria ALBA IULIA	JudecatoriaALBAIULIA	http://portal.just.ro/176/SitePages/prezentare.aspx	jud-alba@just.ro	0258.811.327	0258.818.688	"Programul de lucru al Judecătoriei Alba Iulia este de luni până vineri de la 7:30-15:30 
Programul de lucru cu publicul la sectorul arhivă-registratură este de luni până vineri de la 9:00 la 13:30"	Alba Iulia, Piaţa Iuliu Maniu nr. 24, judeţul Alba																		
Judecătoria ALEŞD	JudecatoriaALESD	http://portal.just.ro/177/SitePages/prezentare.aspx	jud-alesd@just.ro; jud-alesd-reg@just.ro; jud-alesd-arh@just.ro	0259.341.794; 0359.800.014; 0359.800.015	0259.341.795	"Programul de funcţionare al instanţei: Luni – Vineri  între orele   8.00-16.00
Program cu publicul: Arhiva (în curtea instanţei): zilnic între orele  9.00-13.00; Joi de la 9.00-15.00
Registratura (în curtea instanţei) zilnic între orele  9.00-13.00
Judecător de serviciu  - zilnic între orele 11.00-13.00
Birou de informare şi relaţii publice:  Zilnic de la  8.00  -16.00; Marţi de la  8.00 -18.00
Cererile de divorţ se preiau de preşedintele instanţei numai în ziua de joi între orele 9.00-11.00
Şedinţele de judecată încep la ora 9.30
"	Aleşd, Piaţa Unirii nr. 5, jud. Bihor, cod 415100																		
Judecătoria ALEXANDRIA	JudecatoriaALEXANDRIA	http://portal.just.ro/740/SitePages/prezentare.aspx	judecatoria-alexandria@just.ro	0247.311.975	...	"Instanţa îşi desfăşoară activitatea de luni până vineri , între orele 8 – 16.
Compartimentul arhivă – registratură :           
Pentru primirea de cereri, studiu dosare, solicitări copii xerox de pe actele de la dosar, informaţii privind dosarul, Luni – Vineri, orele 9,00 – 13,00; Joi orele 16,00 – 20,00.
Primirea acţiunilor şi a oricăror altor cereri referitoare la dosarele pe rol se face prin judecătorul de serviciu, în zilele de luni – vineri, între orele 9,00 – 13,00.
Programul zilnic al Biroului de Informare şi Relaţii Publice coincide cu programul de lucru al instanţei, între orele 8,00 – 16,00.
"	Alexandria , str. Independentei nr. 22, judetul Teleorman																		
Judecătoria ARAD	JudecatoriaARAD	http://portal.just.ro/55/SitePages/prezentare.aspx	jd-arad@just.ro	0257.253.630	0257.253.889	"Registratura:
Luni, marti, miercuri, vineri: orele 08.00 – 12.00 – se preiau toate categoriile de acţiuni, cereri şi acte, asociaţii, fundaţii, sindicate; orele 13.00 – 15.00 – se eliberează hotărârile legalizate şi copii file din dosare;se preiau cererile având ca obiect încuviinţarea executării silite.
În ziua de joi: orele 08.00 – 11.00 – se eliberează hotărârile legalizate şi copii file din dosare;se preiau cererile având ca obiect încuviinţarea executării silite; orele 11.00 – 15.00 – se preiau toate categoriile de acţiuni, cereri şi acte, asociaţii, fundaţii, sindicate, înregistrări asociaţii, fundaţii, sindicate;
Arhiva:
Luni, marti, miercuri, vineri: orele  08,00-12,00
Joi: orele 08,00-15,00
Programul de lucru la instanţă începe la ora 7.30 şi se termină la ora 15.30. Şedinţele de judecată încep la ora 8.30, putând fi fixate şi şedinţe succesive, iar în caz justificat şi după-amiaza."	Arad , B-dul Vasile Milea 2-4, jud. Arad																		
Judecătoria AVRIG	JudecatoriaAVRIG	http://portal.just.ro/787/SitePages/prezentare.aspx	jud.avrig@just.ro	0269.525.226	0269.525.366	"Program funcţionare birou relaţii publice (Camera 1)
Program Audienţe
Preşedinte: Miercuri 9:00 – 11:00
Program cu Publicul 
Registratură: Luni - Vineri 9:00 – 13:00
Arhivă: Luni - Vineri 9:00 – 13:00
"	Avrig, Str. Gheorghe Lazăr, nr. 2, 555200  jud. Sibiu																		
Judecătoria BABADAG	JudecatoriaBABADAG	http://portal.just.ro/179/SitePages/prezentare.aspx	judecatoria-babadag@just.ro	0240.561.905	0240.562.135	8:00-16:00	Babadag, str. Mihai Viteazu nr. 22, judeţul Tulcea, cod poştal 825100																		
Judecătoria BACĂU	JudecatoriaBACAU	http://portal.just.ro/180/SitePages/prezentare.aspx	judecatoria-bacau-gref@just.ro	0234.512.629	0234.512.673	"1. Biroul de Informare şi Relaţii Publice va funcţiona la Camera 19 după următorul program:
zilnic între orele 8,00 - 16,00 şi miercuri între orele 08,00 - 19,00.
Program de audienţe marţi 10,00 - 12,00 
2. Registratura instanţei  va avea  program cu publicul zilnic, între orele 8,00-13,00 la camera 16.
3. Arhiva instanţei, camerele 11 şi 12,  va fi deschisă pentru public zilnic, după următorul program:
LUNI, MARŢI, MIERCURI,VINERI:  
8,00 - 8,30 informaţii 
11,00 - 13,00 consilieri, avocaţi, experţi
11,30 - 14,00 studiu dosare justiţiabili, consilieri, avocaţi, experţi
JOI:   
8,00 - 8,30 informaţii
11,00 - 13,00 consilieri, avocaţi, experţi
14,00 - 17,00 studiu dosare justiţiabili, consilieri, avocaţi, experţi
4. Biroul Executări Civile va funcţiona la camera 18 şi va avea relaţii cu publicul zilnic între orele 13,00-15,00.
5. Biroul Executări Penale va funcţiona la camera 40 şi va avea relaţii cu publicul zilnic între orele 13,00-15,00.
6. Biroul Persoane Juridice va funcţiona la camera 18 şi va avea relaţii cu publicul zilnic între orele 13,00-15,00."	Str. Oituz, nr. 20, Bacău, Judeţul Bacău, cod poştal 600266																		
